CustomerId,Gender,Age,Geography,Bank DOJ,Category,EstimatedSalary,Balance,CreditScore,Tenure,NumOfProducts,IsActiveMember,Exit
15565701,Female,39,Spain,11/12/2018 0:00,non credit card holder,90212.38,161993.89,698,4,1,Not Active,Retain
15565706,Male,35,Spain,10/9/2019 0:00,credit card holder,83256.26,0,612,4,1,Active,Exit
15565714,Male,47,France,2/10/2019 0:00,non credit card holder,96517.97,64430.06,601,3,2,Active,Retain
15565779,Female,30,Germany,8/27/2019 0:00,credit card holder,188258.49,57809.32,627,4,1,Not Active,Retain
15565796,Male,48,Germany,10/21/2018 0:00,credit card holder,74510.65,96048.55,745,4,1,Not Active,Retain
15565806,Male,38,France,6/28/2018 0:00,non credit card holder,30583.95,0,532,5,2,Not Active,Retain
15565878,Male,29,Spain,8/25/2019 0:00,credit card holder,197963.46,0,631,4,2,Active,Retain
15565879,Female,28,France,11/23/2017 0:00,credit card holder,56185.98,0,845,5,2,Active,Retain
15565891,Male,39,France,8/14/2018 0:00,credit card holder,56214.09,0,709,5,2,Not Active,Retain
15565996,Male,44,France,7/27/2019 0:00,credit card holder,154639.72,0,653,4,2,Active,Retain
15566030,Male,41,Germany,7/20/2016 0:00,non credit card holder,88729.22,80542.81,497,7,1,Not Active,Exit
15566091,Female,32,Spain,5/25/2016 0:00,credit card holder,94739.2,0,545,7,1,Not Active,Retain
15566111,Male,39,France,1/26/2016 0:00,credit card holder,48963.59,0,596,7,1,Not Active,Retain
15566139,Female,37,France,9/14/2016 0:00,credit card holder,62830.97,53573.18,526,7,1,Not Active,Retain
15566156,Female,44,Germany,11/10/2019 0:00,non credit card holder,151083.8,71497.79,749,3,2,Not Active,Retain
15566211,Female,41,Germany,9/13/2016 0:00,credit card holder,236.45,103560.57,616,7,1,Not Active,Exit
15566251,Female,37,France,1/10/2018 0:00,credit card holder,98686.4,96652.86,618,4,1,Not Active,Exit
15566253,Male,44,Germany,5/8/2016 0:00,non credit card holder,146891.07,143391.07,580,7,1,Not Active,Exit
15566269,Male,25,France,6/12/2019 0:00,credit card holder,47307.9,0,787,3,2,Not Active,Retain
15566292,Male,36,Spain,10/1/2016 0:00,non credit card holder,71709.12,0,574,7,2,Active,Retain
15566295,Female,33,France,4/29/2018 0:00,credit card holder,148779.41,138053.79,761,5,2,Not Active,Retain
15566312,Female,42,Spain,12/12/2019 0:00,credit card holder,189016.24,0,660,3,3,Active,Exit
15566378,Male,48,France,5/17/2017 0:00,non credit card holder,147955.91,129387.94,515,6,1,Active,Exit
15566380,Female,33,Spain,9/10/2017 0:00,credit card holder,140759.03,66948.67,586,5,2,Active,Retain
15566467,Female,32,Germany,12/24/2019 0:00,credit card holder,188203.58,138171.1,683,3,2,Active,Retain
15566494,Male,45,France,7/11/2018 0:00,credit card holder,77475.73,0,487,4,2,Not Active,Retain
15566495,Female,24,Spain,1/6/2018 0:00,credit card holder,35600.25,0,704,5,1,Not Active,Exit
15566531,Male,33,Germany,12/13/2018 0:00,non credit card holder,186942.49,88046.88,724,4,1,Active,Exit
15566543,Male,44,Spain,2/10/2019 0:00,credit card holder,107124.17,0,573,3,2,Not Active,Retain
15566563,Female,30,France,9/29/2017 0:00,credit card holder,5008.23,137851.31,777,5,1,Not Active,Exit
15566594,Male,23,Spain,12/4/2018 0:00,non credit card holder,129590.18,0,709,5,2,Not Active,Retain
15566633,Male,55,Germany,5/14/2018 0:00,credit card holder,144584.29,155059.1,698,5,2,Active,Retain
15566660,Female,41,France,9/19/2017 0:00,credit card holder,81602.02,0,670,6,3,Not Active,Retain
15566689,Male,66,Spain,11/26/2017 0:00,credit card holder,116747.62,0,554,5,2,Active,Retain
15566708,Female,45,France,1/1/2017 0:00,credit card holder,161653.5,0,444,6,2,Not Active,Exit
15566735,Female,36,Germany,7/18/2018 0:00,credit card holder,140460.01,108913.84,548,5,2,Active,Retain
15566740,Male,51,Spain,10/5/2018 0:00,non credit card holder,148798.45,83739.32,587,5,1,Active,Retain
15566790,Male,28,France,3/25/2019 0:00,non credit card holder,46041.08,129991.76,598,4,2,Active,Retain
15566843,Male,20,Germany,12/8/2016 0:00,credit card holder,118825.56,134874.4,535,7,1,Active,Retain
15566891,Female,41,Germany,10/4/2017 0:00,credit card holder,178997.89,88594.93,584,6,1,Not Active,Retain
15566894,Male,39,France,11/28/2019 0:00,non credit card holder,83997.79,137817.52,793,3,1,Not Active,Retain
15566958,Male,39,Spain,5/1/2019 0:00,credit card holder,41183.02,167557.12,667,4,1,Active,Retain
15566988,Female,46,Germany,12/9/2018 0:00,credit card holder,50595.15,141535.52,656,5,1,Not Active,Exit
15567013,Male,33,Spain,2/7/2016 0:00,credit card holder,30804.68,0,779,7,2,Not Active,Retain
15567063,Female,34,Germany,5/11/2019 0:00,non credit card holder,137995.66,106434.94,766,3,1,Active,Exit
15567078,Female,27,France,2/9/2018 0:00,credit card holder,79458.12,66201.96,789,5,1,Active,Retain
15567114,Male,35,France,11/24/2018 0:00,non credit card holder,2923.61,118894.22,430,4,1,Not Active,Retain
15567147,Male,40,Spain,11/14/2019 0:00,credit card holder,81908.09,0,802,3,2,Active,Retain
15567246,Male,32,Germany,10/26/2018 0:00,credit card holder,127433.47,102630.13,684,4,2,Active,Retain
15567328,Male,38,Spain,7/4/2017 0:00,non credit card holder,19233.41,177997.07,738,6,1,Active,Retain
15567333,Female,31,France,5/8/2017 0:00,credit card holder,170333.38,0,712,6,2,Not Active,Retain
15567335,Female,42,France,11/16/2016 0:00,credit card holder,190040.29,0,559,6,2,Active,Retain
15567339,Male,73,France,6/6/2018 0:00,credit card holder,114283.33,0,735,5,1,Active,Retain
15567367,Female,42,Germany,3/15/2018 0:00,non credit card holder,103315.74,133636.16,601,5,1,Active,Retain
15567383,Female,44,Germany,7/27/2016 0:00,non credit card holder,31384.86,98009.13,678,7,2,Active,Retain
15567399,Male,43,Germany,4/27/2016 0:00,credit card holder,158646.46,144164.29,633,7,1,Active,Retain
15567422,Male,42,France,11/14/2016 0:00,credit card holder,162697.93,0,630,6,2,Not Active,Retain
15567431,Male,64,France,10/13/2016 0:00,non credit card holder,186172.85,145578.28,773,6,1,Active,Retain
15567437,Female,30,Germany,5/10/2016 0:00,credit card holder,76503.06,123040.38,734,6,1,Active,Retain
15567442,Female,75,France,12/8/2017 0:00,credit card holder,1276.87,0,656,6,2,Active,Retain
15567446,Male,39,Germany,5/13/2018 0:00,credit card holder,30838.51,111574.41,646,5,1,Active,Retain
15567486,Female,41,Spain,9/22/2017 0:00,credit card holder,164549.74,0,634,6,2,Active,Retain
15567506,Female,40,Germany,11/17/2019 0:00,credit card holder,194895.57,114940.67,738,3,2,Active,Exit
15567557,Male,27,France,12/12/2018 0:00,credit card holder,11631.34,128243.03,573,4,1,Active,Retain
15567630,Male,40,Germany,5/10/2017 0:00,credit card holder,138564.48,100275.88,721,5,1,Not Active,Exit
15567725,Female,46,France,11/13/2017 0:00,credit card holder,72993.65,52016.08,689,5,2,Active,Retain
15567778,Female,54,Germany,9/27/2019 0:00,credit card holder,108731.02,144027.8,690,3,1,Active,Exit
15567802,Female,34,Spain,9/24/2016 0:00,credit card holder,175480.93,0,450,6,2,Not Active,Retain
15567832,Female,40,France,6/12/2018 0:00,credit card holder,54018.93,114354.95,550,4,1,Not Active,Retain
15567834,Male,49,France,9/30/2016 0:00,credit card holder,16246.59,105918.1,719,6,1,Active,Retain
15567839,Male,42,France,11/21/2019 0:00,non credit card holder,91429.74,114631.23,501,3,1,Active,Retain
15567855,Female,29,France,6/17/2018 0:00,non credit card holder,39382.06,0,623,5,2,Not Active,Retain
15567860,Female,44,Spain,10/18/2016 0:00,credit card holder,45026.23,189318.16,581,6,2,Not Active,Exit
15567893,Male,33,Germany,9/26/2017 0:00,credit card holder,62627.55,124213.36,556,5,2,Not Active,Retain
15567897,Male,23,Germany,9/27/2016 0:00,credit card holder,143913.33,132725.1,619,6,1,Active,Retain
15567919,Male,37,Germany,9/29/2018 0:00,non credit card holder,104665.79,167735.69,586,4,2,Active,Retain
15567923,Female,30,France,7/9/2019 0:00,non credit card holder,122604.44,0,739,4,1,Not Active,Retain
15567980,Female,46,Germany,6/7/2019 0:00,non credit card holder,140857.76,100727.5,537,4,1,Active,Exit
15567991,Male,31,Spain,12/29/2019 0:00,non credit card holder,175643.44,144880.34,794,3,2,Active,Retain
15567993,Male,28,Spain,12/9/2017 0:00,credit card holder,79355.87,134766.85,828,6,1,Not Active,Retain
15568006,Female,45,France,9/30/2018 0:00,credit card holder,101039.53,0,634,4,4,Not Active,Exit
15568025,Male,51,France,11/7/2018 0:00,credit card holder,116520.07,81710.46,758,5,1,Active,Retain
15568032,Male,31,Germany,8/25/2017 0:00,credit card holder,163170.32,127320.36,757,6,3,Not Active,Retain
15568044,Female,31,France,4/6/2018 0:00,credit card holder,6123.15,0,508,5,2,Active,Retain
15568046,Male,24,France,12/3/2019 0:00,credit card holder,183515.13,109558.36,809,4,1,Not Active,Retain
15568088,Male,44,Germany,12/6/2018 0:00,credit card holder,96123.72,163714.52,481,5,1,Not Active,Retain
15568104,Female,26,France,5/24/2018 0:00,non credit card holder,34948.77,0,749,5,2,Active,Retain
15568106,Female,38,France,8/16/2016 0:00,non credit card holder,19370.73,119278.01,592,7,2,Active,Retain
15568120,Female,37,France,4/25/2017 0:00,credit card holder,72127.83,69609.85,681,6,1,Active,Retain
15568162,Male,53,Spain,3/24/2018 0:00,credit card holder,51711.57,0,527,5,1,Active,Retain
15568164,Female,34,France,4/4/2017 0:00,credit card holder,154000.99,71379.53,850,6,2,Active,Retain
15568238,Male,20,Spain,3/26/2016 0:00,credit card holder,113469.65,0,650,7,2,Active,Retain
15568240,Female,30,Germany,5/26/2019 0:00,non credit card holder,146700.22,77168.87,492,4,2,Active,Retain
15568326,Female,44,France,10/20/2019 0:00,credit card holder,149665.65,0,637,3,2,Not Active,Retain
15568328,Female,22,France,9/22/2019 0:00,credit card holder,66393.89,0,488,4,2,Active,Retain
15568360,Female,41,Spain,12/16/2018 0:00,credit card holder,163524.7,139840.36,569,4,1,Active,Retain
15568429,Female,46,Spain,4/23/2016 0:00,credit card holder,120250.58,0,633,7,2,Not Active,Retain
15568449,Male,38,Spain,5/9/2018 0:00,credit card holder,15650.89,143006.7,661,5,1,Active,Retain
15568469,Male,43,France,2/12/2019 0:00,credit card holder,27862.58,0,653,3,2,Not Active,Retain
15568487,Male,35,France,5/20/2019 0:00,credit card holder,69320.97,124616.23,712,4,1,Active,Retain
15568506,Female,31,Germany,4/14/2018 0:00,credit card holder,161811.23,67238.98,524,5,2,Active,Retain
15568519,Male,41,France,6/30/2019 0:00,credit card holder,13871.34,0,534,4,2,Not Active,Retain
15568562,Male,40,France,8/11/2016 0:00,credit card holder,49656.24,160272.27,689,6,1,Not Active,Retain
15568573,Female,51,Germany,3/13/2018 0:00,non credit card holder,179797.79,105701.91,554,5,1,Active,Exit
15568595,Male,64,France,6/11/2016 0:00,credit card holder,124341.49,113829.45,544,6,1,Active,Retain
15568742,Female,41,France,11/14/2017 0:00,credit card holder,121299.14,0,536,5,1,Not Active,Retain
15568748,Male,45,Germany,11/29/2018 0:00,credit card holder,108872.45,99564.22,671,4,1,Active,Exit
15568819,Female,42,Germany,1/12/2019 0:00,credit card holder,191821.35,132796.04,619,3,3,Active,Exit
15568834,Male,27,Spain,1/13/2019 0:00,non credit card holder,27654.44,125427.37,698,4,2,Not Active,Retain
15568849,Female,31,Spain,2/5/2019 0:00,credit card holder,158027.57,118158.74,540,4,1,Active,Retain
15568876,Female,34,France,5/23/2019 0:00,credit card holder,180844.81,102723.35,496,4,2,Not Active,Retain
15568878,Male,34,Spain,3/26/2017 0:00,credit card holder,159311.46,0,654,6,2,Not Active,Retain
15568885,Female,34,Germany,6/29/2018 0:00,credit card holder,120672.09,102251.57,620,5,1,Not Active,Retain
15568904,Male,34,Germany,9/20/2016 0:00,credit card holder,36639.25,106288.54,608,7,1,Active,Retain
15568915,Male,38,France,4/25/2019 0:00,credit card holder,101319.76,153722.47,681,4,1,Not Active,Retain
15568953,Male,27,France,4/14/2019 0:00,credit card holder,133173.19,128554.98,477,4,1,Active,Retain
15568963,Male,34,Germany,10/23/2016 0:00,credit card holder,175709.4,152797.9,674,6,1,Not Active,Exit
15568982,Female,24,France,3/15/2018 0:00,credit card holder,54724.03,0,726,5,2,Active,Retain
15569050,Male,45,France,12/8/2018 0:00,credit card holder,130009.85,0,444,5,1,Not Active,Exit
15569079,Male,48,Germany,2/11/2017 0:00,credit card holder,64345.61,126066.26,632,5,1,Not Active,Exit
15569098,Male,44,France,6/27/2016 0:00,non credit card holder,35300.08,153548.12,627,7,1,Not Active,Exit
15569120,Male,30,France,4/26/2018 0:00,credit card holder,156346.84,0,615,5,2,Active,Retain
15569178,Female,18,France,7/11/2017 0:00,credit card holder,71811.9,82767.42,570,5,1,Not Active,Retain
15569187,Male,35,Spain,7/13/2017 0:00,non credit card holder,143774.06,0,680,6,2,Not Active,Retain
15569209,Female,34,Spain,3/21/2019 0:00,credit card holder,158668.87,76001.57,464,4,1,Active,Retain
15569222,Male,32,France,7/18/2019 0:00,credit card holder,40066.95,147107.91,781,4,1,Active,Retain
15569247,Female,57,Spain,4/9/2019 0:00,non credit card holder,753.37,109679.72,727,4,1,Active,Retain
15569248,Female,43,France,3/11/2018 0:00,credit card holder,149629.13,0,554,4,2,Not Active,Exit
15569249,Female,55,France,10/27/2019 0:00,non credit card holder,67539.85,44582.07,576,3,3,Active,Exit
15569264,Male,32,France,3/13/2018 0:00,credit card holder,149043.78,179305.09,622,5,1,Active,Retain
15569266,Male,28,France,6/23/2019 0:00,credit card holder,29179.52,155060.41,644,4,1,Not Active,Retain
15569274,Male,49,Germany,7/19/2019 0:00,credit card holder,195053.58,116933.11,678,4,1,Not Active,Exit
15569364,Male,36,France,10/4/2016 0:00,credit card holder,35156.54,0,666,7,2,Not Active,Retain
15569394,Male,24,France,8/30/2018 0:00,credit card holder,182775.08,148197.15,704,5,2,Not Active,Retain
15569410,Female,33,Germany,10/24/2019 0:00,credit card holder,153012.13,114430.18,601,3,2,Active,Retain
15569423,Male,41,Spain,9/6/2016 0:00,credit card holder,22299.27,0,731,7,2,Not Active,Retain
15569430,Female,36,Spain,12/30/2016 0:00,credit card holder,152039.67,175509.8,704,6,2,Not Active,Retain
15569432,Female,48,France,6/9/2018 0:00,credit card holder,85240.61,0,656,5,2,Active,Exit
15569438,Male,36,Germany,12/21/2019 0:00,non credit card holder,198313.69,106702.94,607,3,2,Not Active,Retain
