work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,job_type,company_location,company_size,conversion_rates,foreign_employee
2023,Senior_level,Full-time,Principal Data Scientist,80000,EUR,85847,ESP,Remote,ESP,Large,0.9318904562768646,NO
2023,Mid_level,Contract,ML Engineer,30000,USD,30000,USA,Remote,USA,Small,1.0,NO
2023,Mid_level,Contract,ML Engineer,25500,USD,25500,USA,Remote,USA,Small,1.0,NO
2023,Senior_level,Full-time,Data Scientist,175000,USD,175000,CAN,Remote,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,120000,USD,120000,CAN,Remote,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,222200,USD,222200,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,136000,USD,136000,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Scientist,219000,USD,219000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,141000,USD,141000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,147100,USD,147100,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,90700,USD,90700,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,130000,USD,130000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,100000,USD,100000,USA,Remote,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Applied Scientist,213660,USD,213660,USA,On-Site,USA,Large,1.0,NO
2023,Entry_level,Full-time,Applied Scientist,130760,USD,130760,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Modeler,147100,USD,147100,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Modeler,90700,USD,90700,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,170000,USD,170000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,150000,USD,150000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analyst,150000,USD,150000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analyst,110000,USD,110000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,275000,USD,275000,DEU,On-Site,DEU,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,174000,USD,174000,DEU,On-Site,DEU,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,230000,USD,230000,GBR,Remote,GBR,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,143200,USD,143200,GBR,Remote,GBR,Medium,1.0,NO
2023,Senior_level,Full-time,Business Intelligence Engineer,225000,USD,225000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Business Intelligence Engineer,156400,USD,156400,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,200000,USD,200000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,130000,USD,130000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Strategist,90000,USD,90000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Strategist,72000,USD,72000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,253200,USD,253200,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,90700,USD,90700,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,342810,USD,342810,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,184590,USD,184590,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,162500,USD,162500,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,130000,USD,130000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analyst,105380,USD,105380,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analyst,64500,USD,64500,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Quality Analyst,100000,USD,100000,NGA,Remote,NGA,Large,1.0,NO
